cycle_no,timestamp,motor_id,rpm,temperature_C,vibration_mm_s,current_A,voltage_V,power_W,torque_Nm,failure
954,2025-01-01 23:53:00,BLM_03,2782.0,60.308,1.9262,11.79,46.81,522.66,1.97,0
955,2025-01-01 23:54:00,BLM_02,3319.0,62.870000000000005,3.5865,11.06,50.15,568.48,1.58,0
956,2025-01-01 23:55:00,BLM_02,3088.0,64.732,2.9268,12.26,49.87,482.3,1.86,0
957,2025-01-01 23:56:00,BLM_02,3192.0,67.374,2.3671,9.41,46.36,546.74,1.84,0
958,2025-01-01 23:57:00,BLM_01,3101.0,78.106,2.6774,9.14,52.15,617.67,1.58,0
959,2025-01-01 23:58:00,BLM_01,3011.0,52.198,1.9277,16.29,47.56,508.55,1.76,1
960,2025-01-01 23:59:00,BLM_01,3013.0,76.33,2.418,15.48,49.97,530.15,1.8,0
961,2025-01-02 00:00:00,BLM_01,2928.0,59.842,2.8983,14.1,45.37,472.28,1.58,0
962,2025-01-02 00:01:00,BLM_02,2943.0,66.194,3.0385999999999997,12.87,47.62,599.92,1.71,0
963,2025-01-02 00:02:00,BLM_03,2747.0,61.856,2.7289,13.4,45.71,545.58,1.79,0
964,2025-01-02 00:03:00,BLM_01,3195.0,79.908,2.6592000000000002,13.4,43.87,526.6,1.87,0
965,2025-01-02 00:04:00,BLM_01,2674.0,63.43,3.2994999999999997,14.98,47.89,552.13,2.27,0
966,2025-01-02 00:05:00,BLM_02,2809.0,70.58200000000001,2.7198,11.11,47.18,546.8,1.56,0
967,2025-01-02 00:06:00,BLM_03,3362.0,70.944,2.4800999999999997,10.64,50.68,518.46,2.14,0
968,2025-01-02 00:07:00,BLM_03,3025.0,58.816,2.2603999999999997,11.97,46.56,486.79,1.58,0
969,2025-01-02 00:08:00,BLM_02,3032.0,66.258,1.5507,13.07,48.67,556.93,1.8,0
970,2025-01-02 00:09:00,BLM_02,3115.0,75.37,3.241,11.54,46.99,550.67,2.03,0
971,2025-01-02 00:10:00,BLM_03,2723.0,60.832,3.8113,11.01,45.57,532.55,1.91,0
972,2025-01-02 00:11:00,BLM_01,2749.0,72.744,2.2116,14.59,50.02,536.25,1.21,0
973,2025-01-02 00:12:00,BLM_03,2920.0,64.626,1.9019000000000001,10.49,46.46,598.63,2.07,0
974,2025-01-02 00:13:00,BLM_02,2837.0,75.098,2.3522,14.64,46.91,563.08,1.88,0
975,2025-01-02 00:14:00,BLM_01,2987.0,79.18,2.9925,13.73,45.03,490.33,1.66,0
976,2025-01-02 00:15:00,BLM_01,3087.0,52.902,2.4428,15.44,43.78,608.02,1.77,0
977,2025-01-02 00:16:00,BLM_02,3250.0,57.584,2.4231,15.93,49.13,580.63,1.91,0
978,2025-01-02 00:17:00,BLM_02,3146.0,63.886,2.7334,12.67,47.75,577.42,1.95,0
979,2025-01-02 00:18:00,BLM_02,2821.0,77.218,2.8636999999999997,15.74,50.3,514.3,1.94,0
980,2025-01-02 00:19:00,BLM_03,2933.0,70.69,3.054,12.91,49.27,588.42,1.62,0
981,2025-01-02 00:20:00,BLM_03,2884.0,58.252,2.5843,12.71,44.89,558.12,1.8,0
982,2025-01-02 00:21:00,BLM_01,2817.0,71.714,2.5745999999999998,12.35,48.01,497.73,1.59,0
983,2025-01-02 00:22:00,BLM_02,2776.0,60.566,1.4448999999999999,11.22,47.91,562.95,1.99,0
984,2025-01-02 00:23:00,BLM_01,3300.0,73.058,3.4452,13.37,50.53,592.83,1.74,0
985,2025-01-02 00:24:00,BLM_01,3002.0,70.74,2.9755000000000003,14.07,51.08,575.57,1.91,0
986,2025-01-02 00:25:00,BLM_01,2960.0,60.542,3.8558,9.48,43.68,469.0,1.67,0
987,2025-01-02 00:26:00,BLM_01,3087.0,66.51400000000001,3.1561,16.61,50.75,567.98,1.82,1
988,2025-01-02 00:27:00,BLM_02,3096.0,75.54599999999999,2.7464000000000004,14.92,50.41,533.63,1.75,0
989,2025-01-02 00:28:00,BLM_01,3201.0,53.738,1.7567,10.95,45.97,465.18,1.5,0
990,2025-01-02 00:29:00,BLM_02,2866.0,69.09,1.657,13.01,47.89,579.22,2.07,0
991,2025-01-02 00:30:00,BLM_02,3072.0,59.232,3.5273,11.92,42.74,580.74,1.97,0
992,2025-01-02 00:31:00,BLM_03,2836.0,66.874,3.1876,12.6,47.87,548.59,1.48,0
993,2025-01-02 00:32:00,BLM_02,2966.0,70.186,3.8278999999999996,11.76,45.38,504.11,1.6,0
994,2025-01-02 00:33:00,BLM_03,3010.0,81.078,3.4482,12.94,49.3,612.72,1.65,0
995,2025-01-02 00:34:00,BLM_02,3028.0,66.80999999999999,2.5385,10.08,49.03,574.64,2.13,0
996,2025-01-02 00:35:00,BLM_02,3020.0,77.25200000000001,1.1888,15.94,47.76,577.19,2.02,0
997,2025-01-02 00:36:00,BLM_02,3144.0,61.114,3.2191,10.21,48.49,591.47,1.85,0
998,2025-01-02 00:37:00,BLM_03,2893.0,63.526,2.0894,12.99,46.03,604.56,1.4,0
999,2025-01-02 00:38:00,BLM_03,3033.0,71.108,2.6697,10.78,45.18,564.53,1.91,0
1000,2025-01-02 00:39:00,BLM_01,2863.0,68.41,3.09,11.72,53.29,498.77,1.84,0
1001,2025-01-02 00:40:00,BLM_03,3526.0,64.702,2.3603,12.83,50.56,519.13,1.71,0
1002,2025-01-02 00:41:00,BLM_03,2836.0,64.514,2.2206,12.18,48.33,526.62,2.13,0
1003,2025-01-02 00:42:00,BLM_03,2874.0,76.336,2.5808999999999997,12.23,47.46,604.71,1.75,0
1004,2025-01-02 00:43:00,BLM_03,3159.0,64.988,1.3712,11.34,54.01,559.67,2.1,0
1005,2025-01-02 00:44:00,BLM_01,2923.0,59.86,2.0815,10.76,52.18,519.21,1.71,0
1006,2025-01-02 00:45:00,BLM_03,3159.0,61.032000000000004,2.0718,13.19,47.29,541.04,1.59,0
1007,2025-01-02 00:46:00,BLM_02,3028.0,71.704,2.6321,10.46,45.57,609.52,1.49,0
1008,2025-01-02 00:47:00,BLM_02,2927.0,82.816,2.1424000000000003,10.83,48.13,577.65,1.78,0
1009,2025-01-02 00:48:00,BLM_03,2865.0,63.348,2.4427000000000003,10.85,47.05,596.92,1.81,0
1010,2025-01-02 00:49:00,BLM_03,2858.0,82.06,2.493,11.4,45.63,499.8,1.56,0
1011,2025-01-02 00:50:00,BLM_02,2929.0,66.94200000000001,4.2933,9.44,51.43,540.58,1.57,0
1012,2025-01-02 00:51:00,BLM_02,2969.0,65.064,3.3436,9.47,49.31,521.15,2.09,0
1013,2025-01-02 00:52:00,BLM_01,2850.0,60.656000000000006,2.7239,12.98,46.98,617.58,1.99,0
1014,2025-01-02 00:53:00,BLM_02,2980.0,65.638,3.1142000000000003,13.0,46.95,543.8,2.26,0
1015,2025-01-02 00:54:00,BLM_02,2803.0,61.74,3.4445,12.56,48.03,524.18,1.4,0
1016,2025-01-02 00:55:00,BLM_03,3136.0,61.182,3.0048000000000004,14.48,46.78,459.72,2.23,0
1017,2025-01-02 00:56:00,BLM_02,3171.0,55.474,2.0851,10.41,46.57,613.48,1.6,0
1018,2025-01-02 00:57:00,BLM_01,2873.0,79.396,2.7054,8.89,53.13,615.67,1.47,0
1019,2025-01-02 00:58:00,BLM_02,2863.0,74.488,2.1257,13.41,45.72,457.63,1.86,0
1020,2025-01-02 00:59:00,BLM_03,3032.0,68.94000000000001,2.576,8.86,42.47,559.56,1.34,0
1021,2025-01-02 01:00:00,BLM_03,3228.0,66.032,2.6963,11.75,49.64,592.6,2.07,0
1022,2025-01-02 01:01:00,BLM_02,3268.0,67.00399999999999,3.5466,12.5,50.79,571.47,1.84,0
1023,2025-01-02 01:02:00,BLM_03,2748.0,61.606,2.2469,15.71,48.39,530.38,1.62,0
1024,2025-01-02 01:03:00,BLM_01,3181.0,59.108000000000004,2.1972,11.02,43.97,507.42,2.05,0
1025,2025-01-02 01:04:00,BLM_01,2989.0,72.07,2.3075,11.15,47.66,602.57,1.77,0
1026,2025-01-02 01:05:00,BLM_02,2992.0,65.212,2.3777999999999997,13.19,46.73,584.68,1.81,0
1027,2025-01-02 01:06:00,BLM_02,3091.0,69.334,2.5881,13.08,51.34,578.71,1.96,0
1028,2025-01-02 01:07:00,BLM_02,2913.0,55.416,3.0384,11.38,45.89,602.71,1.64,0
1029,2025-01-02 01:08:00,BLM_03,3197.0,64.848,2.2587,12.33,48.58,648.38,1.54,0
1030,2025-01-02 01:09:00,BLM_01,3256.0,58.99,2.8890000000000002,10.67,49.49,535.34,1.77,0
1031,2025-01-02 01:10:00,BLM_01,3263.0,70.452,2.8992999999999998,12.8,45.86,535.43,1.46,0
1032,2025-01-02 01:11:00,BLM_03,2668.0,74.03399999999999,3.1996,9.13,46.51,531.8,1.69,0
1033,2025-01-02 01:12:00,BLM_01,2959.0,77.286,2.6599,17.23,49.08,508.48,1.55,1
1034,2025-01-02 01:13:00,BLM_02,2652.0,62.668,3.3902,13.3,39.99,603.75,1.72,0
1035,2025-01-02 01:14:00,BLM_02,2862.0,59.17,3.0705,10.02,51.4,610.49,1.58,0
1036,2025-01-02 01:15:00,BLM_02,2568.0,64.142,3.0408,11.52,45.47,597.94,1.71,0
1037,2025-01-02 01:16:00,BLM_01,3081.0,62.174,2.4211,10.1,48.11,625.01,2.06,0
1038,2025-01-02 01:17:00,BLM_02,3039.0,70.09599999999999,3.0014,10.53,44.62,554.56,1.61,0
1039,2025-01-02 01:18:00,BLM_03,2922.0,57.258,3.0617,12.38,51.3,566.9,1.9,0
1040,2025-01-02 01:19:00,BLM_03,2858.0,54.8,2.392,14.5,48.0,579.36,1.35,0
1041,2025-01-02 01:20:00,BLM_01,3057.0,64.652,3.6523,11.82,48.53,531.1,1.72,0
1042,2025-01-02 01:21:00,BLM_03,2818.0,72.174,4.6526,8.6,49.4,501.85,1.59,1
1043,2025-01-02 01:22:00,BLM_03,2806.0,59.896,2.3529,10.89,50.72,556.53,1.81,0
1044,2025-01-02 01:23:00,BLM_01,2784.0,73.02799999999999,2.4832,11.01,45.2,529.0,1.66,0
1045,2025-01-02 01:24:00,BLM_02,2963.0,69.65,2.5035,12.16,47.33,647.61,2.02,0
1046,2025-01-02 01:25:00,BLM_02,2895.0,77.922,1.8938000000000001,11.75,51.16,482.97,1.71,0
1047,2025-01-02 01:26:00,BLM_02,2931.0,61.474000000000004,2.2041,8.04,46.9,547.34,2.08,0
1048,2025-01-02 01:27:00,BLM_01,3094.0,55.846000000000004,3.4144,10.34,51.42,563.02,1.28,0
1049,2025-01-02 01:28:00,BLM_03,3173.0,71.288,2.7546999999999997,10.01,48.52,512.65,1.81,0
1050,2025-01-02 01:29:00,BLM_02,3261.0,69.05999999999999,4.155,13.62,46.94,529.34,1.83,0
1051,2025-01-02 01:30:00,BLM_02,3011.0,68.522,2.6153,11.49,49.73,552.72,1.57,0
1052,2025-01-02 01:31:00,BLM_01,3063.0,59.774,3.1056,8.4,47.62,497.81,1.8,0
1053,2025-01-02 01:32:00,BLM_02,3034.0,72.536,2.1859,10.44,50.13,568.36,1.92,0
1054,2025-01-02 01:33:00,BLM_01,2699.0,62.678,2.7361999999999997,14.11,46.8,620.99,2.07,0
1055,2025-01-02 01:34:00,BLM_03,2933.0,68.52,2.8765,10.92,50.14,532.95,1.73,0
1056,2025-01-02 01:35:00,BLM_01,2934.0,63.892,1.3468,10.78,49.09,584.56,1.69,0
1057,2025-01-02 01:36:00,BLM_01,2908.0,69.59400000000001,2.2371,11.69,47.15,626.85,1.65,0
1058,2025-01-02 01:37:00,BLM_01,2993.0,58.746,3.2674000000000003,12.41,43.44,595.3,1.81,0
1059,2025-01-02 01:38:00,BLM_01,2960.0,70.618,3.2277,11.74,49.2,517.28,1.57,0
1060,2025-01-02 01:39:00,BLM_03,2822.0,71.72,1.948,13.84,50.69,480.81,1.99,0
1061,2025-01-02 01:40:00,BLM_03,2973.0,67.932,2.5683,11.74,48.48,536.0,1.39,0
1062,2025-01-02 01:41:00,BLM_02,2885.0,78.634,1.1585999999999999,13.21,42.39,552.66,1.78,0
1063,2025-01-02 01:42:00,BLM_03,2529.0,68.57600000000001,2.8189,12.35,50.85,456.86,1.46,0
1064,2025-01-02 01:43:00,BLM_03,2749.0,73.558,3.6992,9.67,49.0,551.26,1.79,0
1065,2025-01-02 01:44:00,BLM_02,3016.0,67.78,3.7295000000000003,15.21,49.54,512.81,2.0,0
1066,2025-01-02 01:45:00,BLM_03,3197.0,72.94200000000001,3.7098,14.08,47.8,544.65,1.85,0
1067,2025-01-02 01:46:00,BLM_01,2563.0,56.404,3.1901,10.98,43.17,535.97,1.65,0
1068,2025-01-02 01:47:00,BLM_01,2843.0,67.366,3.6304,11.8,49.45,540.7,1.98,0
1069,2025-01-02 01:48:00,BLM_02,3078.0,59.248,2.6907,13.11,47.45,583.82,1.12,0
1070,2025-01-02 01:49:00,BLM_02,3158.0,68.12,2.451,12.32,46.17,505.03,1.78,0
1071,2025-01-02 01:50:00,BLM_02,2924.0,69.832,3.6212999999999997,12.19,52.36,467.67,1.59,0
1072,2025-01-02 01:51:00,BLM_01,2877.0,72.79400000000001,3.0216000000000003,12.91,49.47,587.34,1.92,0
1073,2025-01-02 01:52:00,BLM_03,3220.0,70.57600000000001,1.5619,12.64,48.55,579.11,1.17,0
1074,2025-01-02 01:53:00,BLM_01,3143.0,64.788,3.6722,12.64,45.84,574.21,1.68,0
1075,2025-01-02 01:54:00,BLM_02,3155.0,61.87,2.6725000000000003,12.16,45.53,510.16,1.64,0
1076,2025-01-02 01:55:00,BLM_03,2916.0,50.752,2.3528,13.15,49.25,577.49,2.03,0
1077,2025-01-02 01:56:00,BLM_03,3200.0,67.634,3.5131,12.38,43.01,492.39,1.6,0
1078,2025-01-02 01:57:00,BLM_01,2650.0,75.126,3.4133999999999998,12.42,49.38,536.44,1.74,0
1079,2025-01-02 01:58:00,BLM_02,3204.0,67.918,2.1537,14.47,49.53,618.27,1.82,0
1080,2025-01-02 01:59:00,BLM_01,2988.0,66.57,2.714,12.78,51.44,576.89,1.79,0
1081,2025-01-02 02:00:00,BLM_03,3023.0,68.162,2.1843000000000004,12.59,50.45,546.72,1.79,0
1082,2025-01-02 02:01:00,BLM_01,2830.0,64.454,2.2046,10.4,50.85,543.52,1.82,0
1083,2025-01-02 02:02:00,BLM_01,2673.0,68.526,0.7348999999999999,10.49,46.51,500.43,1.8,0
1084,2025-01-02 02:03:00,BLM_02,3019.0,64.33800000000001,2.1152,14.06,44.34,622.91,2.39,0
1085,2025-01-02 02:04:00,BLM_02,3099.0,60.88,2.7055,13.03,48.44,595.49,1.35,0
1086,2025-01-02 02:05:00,BLM_03,3126.0,66.642,0.8458,13.65,49.11,585.91,1.6,0
1087,2025-01-02 02:06:00,BLM_01,3107.0,66.494,1.8661,12.36,50.53,545.82,1.79,0
1088,2025-01-02 02:07:00,BLM_01,3066.0,80.306,3.2464,12.72,51.72,533.61,2.08,0
1089,2025-01-02 02:08:00,BLM_01,2834.0,61.538,1.8367,11.74,45.09,515.83,2.04,0
1090,2025-01-02 02:09:00,BLM_03,3138.0,66.06,2.717,11.95,50.14,614.4,2.06,0
1091,2025-01-02 02:10:00,BLM_03,2814.0,65.382,1.6673,11.25,42.39,468.41,1.79,0
1092,2025-01-02 02:11:00,BLM_02,3199.0,64.054,3.1176,14.4,48.69,575.5,2.11,0
1093,2025-01-02 02:12:00,BLM_02,2985.0,70.77600000000001,2.5979,10.72,49.75,479.08,1.65,0
1094,2025-01-02 02:13:00,BLM_02,2991.0,82.858,2.1882,12.55,44.18,540.88,2.03,0
1095,2025-01-02 02:14:00,BLM_01,3156.0,64.94,0.9785,11.72,49.56,548.88,1.85,0
1096,2025-01-02 02:15:00,BLM_01,3180.0,70.80199999999999,2.1988000000000003,13.71,45.34,492.41,1.85,0
1097,2025-01-02 02:16:00,BLM_02,3139.0,53.804,3.2991,12.41,47.02,511.54,1.47,0
1098,2025-01-02 02:17:00,BLM_01,2852.0,64.446,3.9194,12.83,50.15,582.8,1.36,0
1099,2025-01-02 02:18:00,BLM_02,3137.0,78.088,2.6797,12.37,47.21,616.54,1.73,0
1100,2025-01-02 02:19:00,BLM_03,2853.0,66.82000000000001,2.7600000000000002,10.21,47.17,564.06,1.78,0
1101,2025-01-02 02:20:00,BLM_02,3142.0,70.722,2.3602999999999996,12.99,48.8,519.07,1.52,0
1102,2025-01-02 02:21:00,BLM_03,2743.0,62.844,3.6906,11.82,50.0,506.45,2.03,0
1103,2025-01-02 02:22:00,BLM_01,2983.0,69.006,2.6609,10.63,48.0,516.68,1.59,0
1104,2025-01-02 02:23:00,BLM_02,2852.0,78.638,3.4612,9.46,51.95,549.0,1.94,0
1105,2025-01-02 02:24:00,BLM_01,3157.0,59.09,3.0015,10.53,47.16,561.61,1.73,0
1106,2025-01-02 02:25:00,BLM_03,3201.0,82.522,2.9217999999999997,13.38,51.08,605.25,2.0,0
1107,2025-01-02 02:26:00,BLM_03,3036.0,56.394,2.1221,15.17,49.32,546.71,1.5,0
1108,2025-01-02 02:27:00,BLM_03,3030.0,63.816,4.0824,12.21,49.68,520.18,1.4,0
1109,2025-01-02 02:28:00,BLM_01,3127.0,61.367999999999995,3.8627,10.21,45.1,499.27,1.93,0
1110,2025-01-02 02:29:00,BLM_01,3202.0,65.31,4.423,12.75,51.04,540.6,2.01,0
1111,2025-01-02 02:30:00,BLM_01,3007.0,61.282000000000004,2.0633,13.94,48.3,475.81,1.88,0
1112,2025-01-02 02:31:00,BLM_01,2910.0,60.754,3.0136000000000003,15.46,53.78,522.8,1.58,0
1113,2025-01-02 02:32:00,BLM_03,3117.0,58.916,2.2739,14.28,48.64,493.3,1.97,0
1114,2025-01-02 02:33:00,BLM_03,2665.0,71.738,3.1442,12.4,47.95,538.33,1.94,0
1115,2025-01-02 02:34:00,BLM_02,3164.0,65.56,3.0345000000000004,13.04,46.71,570.52,1.51,0
1116,2025-01-02 02:35:00,BLM_02,2872.0,63.732,2.5448,10.7,48.01,567.11,1.91,0
1117,2025-01-02 02:36:00,BLM_01,2957.0,69.214,2.6750999999999996,13.43,51.53,580.78,1.84,0
1118,2025-01-02 02:37:00,BLM_03,3165.0,56.775999999999996,4.2954,13.68,49.96,508.39,1.83,0
1119,2025-01-02 02:38:00,BLM_03,2925.0,69.378,2.7457000000000003,7.5,48.74,613.8,1.45,0
1120,2025-01-02 02:39:00,BLM_03,3117.0,66.58,1.296,12.26,50.14,579.97,2.01,0
1121,2025-01-02 02:40:00,BLM_02,3205.0,66.802,2.4563,14.68,46.89,578.33,1.66,0
1122,2025-01-02 02:41:00,BLM_02,3020.0,70.874,2.0666,10.79,46.7,600.67,1.64,0
1123,2025-01-02 02:42:00,BLM_03,3056.0,78.746,2.1969000000000003,8.17,46.43,557.94,1.91,0
1124,2025-01-02 02:43:00,BLM_03,2979.0,69.50800000000001,3.3372,11.95,50.47,544.79,1.75,0
1125,2025-01-02 02:44:00,BLM_03,3021.0,65.85,3.4575,13.94,50.72,610.68,1.44,0
1126,2025-01-02 02:45:00,BLM_02,2799.0,58.972,2.2478,12.72,46.0,512.39,2.18,0
1127,2025-01-02 02:46:00,BLM_03,2947.0,50.513999999999996,2.4480999999999997,12.05,46.31,540.48,1.86,0
1128,2025-01-02 02:47:00,BLM_03,2768.0,68.156,2.3484,10.33,47.66,602.07,1.79,0
1129,2025-01-02 02:48:00,BLM_01,2838.0,58.438,3.8987,10.02,45.44,540.61,1.79,0
1130,2025-01-02 02:49:00,BLM_01,2639.0,49.48,3.479,12.33,48.59,523.56,1.8,0
1131,2025-01-02 02:50:00,BLM_02,3048.0,64.80199999999999,3.3093000000000004,11.89,51.59,507.5,1.82,0
1132,2025-01-02 02:51:00,BLM_03,3304.0,68.944,2.1196,13.53,48.92,560.72,2.09,0
1133,2025-01-02 02:52:00,BLM_03,2918.0,72.476,1.6399,12.79,50.57,530.7,2.2,0
1134,2025-01-02 02:53:00,BLM_01,3174.0,74.69800000000001,3.7001999999999997,10.66,44.7,572.01,1.73,0
1135,2025-01-02 02:54:00,BLM_02,3203.0,73.39999999999999,4.1805,12.46,46.74,623.88,1.97,0
1136,2025-01-02 02:55:00,BLM_01,2784.0,73.592,1.6108,12.16,43.26,598.28,1.96,0
1137,2025-01-02 02:56:00,BLM_01,2823.0,56.994,4.4111,9.0,47.84,445.42,1.97,0
1138,2025-01-02 02:57:00,BLM_01,3178.0,66.226,2.7714000000000003,11.25,53.46,582.27,2.12,0
1139,2025-01-02 02:58:00,BLM_01,2983.0,71.33800000000001,2.9617,12.11,52.43,585.44,2.01,0
1140,2025-01-02 02:59:00,BLM_03,2768.0,67.6,1.9220000000000002,11.8,48.97,536.58,1.9,0
1141,2025-01-02 03:00:00,BLM_03,2885.0,66.192,1.6023,12.57,48.2,605.99,1.64,0
1142,2025-01-02 03:01:00,BLM_01,3076.0,67.48400000000001,1.2626,12.14,49.2,563.27,1.88,0
1143,2025-01-02 03:02:00,BLM_02,2857.0,69.006,3.5629,12.61,45.05,462.54,1.54,0
1144,2025-01-02 03:03:00,BLM_02,2501.0,66.74799999999999,2.7832,12.3,48.61,556.38,1.92,0
1145,2025-01-02 03:04:00,BLM_02,2942.0,61.37,3.1635,11.96,42.64,537.78,1.88,0
1146,2025-01-02 03:05:00,BLM_02,2957.0,55.372,3.6338,12.29,41.61,521.71,1.44,0
1147,2025-01-02 03:06:00,BLM_01,3002.0,65.864,2.7741000000000002,11.35,47.13,566.33,1.68,0
1148,2025-01-02 03:07:00,BLM_03,3227.0,67.69600000000001,4.0244,11.25,53.93,579.28,1.61,0
1149,2025-01-02 03:08:00,BLM_02,3010.0,67.628,2.2647,12.18,52.17,580.12,1.98,0
1150,2025-01-02 03:09:00,BLM_01,3044.0,73.97,2.555,8.38,50.86,581.48,1.73,0
1151,2025-01-02 03:10:00,BLM_02,3190.0,75.212,2.2153,11.33,48.04,498.0,1.44,0
1152,2025-01-02 03:11:00,BLM_02,3002.0,66.574,3.4256,10.73,51.9,502.23,1.91,0
1153,2025-01-02 03:12:00,BLM_01,3385.0,66.62599999999999,3.6258999999999997,10.51,46.72,562.13,1.85,0
1154,2025-01-02 03:13:00,BLM_03,2773.0,71.31800000000001,2.5262000000000002,11.43,45.04,598.51,1.83,0
1155,2025-01-02 03:14:00,BLM_03,2832.0,70.3,1.8665,9.59,46.57,565.91,1.52,0
1156,2025-01-02 03:15:00,BLM_01,3111.0,64.212,3.7068,11.44,43.98,455.24,1.95,0
1157,2025-01-02 03:16:00,BLM_03,3226.0,71.924,2.2271,12.42,53.67,574.62,1.77,0
1158,2025-01-02 03:17:00,BLM_01,2964.0,66.29599999999999,2.5674,13.89,49.36,479.91,1.76,0
1159,2025-01-02 03:18:00,BLM_01,2818.0,66.438,2.0977,15.96,45.82,580.85,1.49,0
1160,2025-01-02 03:19:00,BLM_01,3317.0,70.36000000000001,3.048,8.71,47.8,524.9,1.49,0
1161,2025-01-02 03:20:00,BLM_03,2857.0,65.212,2.3083,10.32,47.72,563.61,2.82,0
1162,2025-01-02 03:21:00,BLM_01,3061.0,67.984,3.3386000000000005,11.44,51.59,644.66,1.51,0
1163,2025-01-02 03:22:00,BLM_02,3237.0,69.40599999999999,2.4589,12.25,53.6,534.11,1.27,0
1164,2025-01-02 03:23:00,BLM_03,2921.0,73.048,3.2292,12.66,50.71,516.04,1.7,0
1165,2025-01-02 03:24:00,BLM_03,2888.0,72.57,2.1995,10.9,49.86,530.46,1.75,0
1166,2025-01-02 03:25:00,BLM_03,2900.0,69.202,3.7098,7.45,48.8,482.38,1.57,0
1167,2025-01-02 03:26:00,BLM_03,3162.0,49.074000000000005,2.5000999999999998,13.86,48.29,504.82,1.59,0
1168,2025-01-02 03:27:00,BLM_02,3191.0,69.036,2.9104,12.9,48.23,597.94,1.77,0
1169,2025-01-02 03:28:00,BLM_03,3006.0,70.128,2.0206999999999997,13.28,48.28,461.21,1.89,0
1170,2025-01-02 03:29:00,BLM_03,3339.0,71.55,2.841,11.61,47.51,521.76,1.45,0
1171,2025-01-02 03:30:00,BLM_01,3006.0,60.652,2.0413,12.63,46.88,560.78,1.7,0
1172,2025-01-02 03:31:00,BLM_03,3233.0,52.494,2.8216,8.4,45.35,531.57,1.8,0
1173,2025-01-02 03:32:00,BLM_02,2922.0,72.986,2.1819,10.07,47.41,610.74,1.74,0
1174,2025-01-02 03:33:00,BLM_02,3420.0,58.778,2.7422,14.15,44.72,542.49,1.63,0
1175,2025-01-02 03:34:00,BLM_02,3283.0,75.91,3.1825,12.06,46.59,534.75,1.54,0
1176,2025-01-02 03:35:00,BLM_02,2977.0,63.302,1.8928,15.36,47.72,556.72,2.23,0
1177,2025-01-02 03:36:00,BLM_03,3258.0,60.164,2.8231,10.25,48.65,562.23,1.22,0
1178,2025-01-02 03:37:00,BLM_03,3249.0,69.806,3.1434,16.59,48.61,550.0,2.06,1
1179,2025-01-02 03:38:00,BLM_02,3280.0,71.668,3.1336999999999997,16.85,49.24,546.78,1.51,1
1180,2025-01-02 03:39:00,BLM_02,2553.0,71.26,4.194,10.84,49.02,462.07,1.86,0
1181,2025-01-02 03:40:00,BLM_03,3129.0,70.872,2.3343,11.18,52.48,499.14,1.82,0
1182,2025-01-02 03:41:00,BLM_02,3098.0,62.413999999999994,2.8546,14.25,52.14,575.97,1.54,0
1183,2025-01-02 03:42:00,BLM_01,3085.0,56.676,4.0749,10.99,47.04,595.35,1.75,0
1184,2025-01-02 03:43:00,BLM_02,3039.0,64.638,1.8952,11.52,50.3,607.48,1.7,0
1185,2025-01-02 03:44:00,BLM_02,3045.0,59.349999999999994,1.2455,10.68,47.56,485.04,1.81,0
1186,2025-01-02 03:45:00,BLM_01,3231.0,70.402,3.2258,10.73,43.82,512.32,2.12,0
1187,2025-01-02 03:46:00,BLM_01,3097.0,73.494,3.5861,12.21,49.66,617.33,2.16,0
1188,2025-01-02 03:47:00,BLM_03,3039.0,68.586,1.3764,11.51,46.68,532.86,1.61,0
1189,2025-01-02 03:48:00,BLM_03,3205.0,67.368,2.6367,8.24,46.3,577.8,1.89,0
1190,2025-01-02 03:49:00,BLM_01,3075.0,65.21,2.1470000000000002,14.59,46.54,701.53,2.05,0
1191,2025-01-02 03:50:00,BLM_01,3092.0,74.242,3.0773,14.88,46.11,597.24,1.69,0
1192,2025-01-02 03:51:00,BLM_03,3336.0,54.574,2.8376,12.92,52.58,540.26,1.95,0
1193,2025-01-02 03:52:00,BLM_02,2922.0,58.946000000000005,3.7779,12.23,44.99,543.66,2.4,0
1194,2025-01-02 03:53:00,BLM_01,2727.0,80.17800000000001,1.9182000000000001,10.32,47.62,573.7,1.51,0
1195,2025-01-02 03:54:00,BLM_03,3013.0,58.61,3.1285,11.17,43.78,463.57,1.92,0
1196,2025-01-02 03:55:00,BLM_02,3039.0,71.112,3.2988,13.96,46.17,569.85,1.55,0
1197,2025-01-02 03:56:00,BLM_01,3130.0,72.554,2.8991,13.08,44.72,537.55,1.64,0
1198,2025-01-02 03:57:00,BLM_02,3019.0,53.916000000000004,1.4594,12.82,49.29,546.52,1.68,0
1199,2025-01-02 03:58:00,BLM_03,3136.0,55.258,3.1497,12.9,44.19,554.76,1.91,0
1200,2025-01-02 03:59:00,BLM_01,3451.0,76.25,2.35,13.91,51.58,620.46,2.31,0
1201,2025-01-02 04:00:00,BLM_02,3144.0,60.592,1.6403,13.64,44.71,561.54,1.65,0
1202,2025-01-02 04:01:00,BLM_01,3176.0,60.784000000000006,3.1205999999999996,13.24,45.4,560.56,2.05,0
1203,2025-01-02 04:02:00,BLM_02,2977.0,63.756,3.4009,11.37,49.69,582.18,1.57,0
1204,2025-01-02 04:03:00,BLM_03,2751.0,60.618,2.4311999999999996,15.03,52.7,553.28,1.69,0
